acrylic (akrílic) - acrílico
aluminium (alúminom) - aluminio
brass (bráss) - latón
bronze (bróns) - bronce

canvas (kánvas) - lona
cardboard (kárdbord) - cartón
cashmere (káshmiir) - cachemira
cement (semént) - cemento

clay (kléi) - arcilla
concrete (cónkrit) - hormigón
copper (kóper) - cobre
corduroy (kórderoi) - corderoy

cotton (kótn) - algodón
denim (dénim) - tela de jean
feather (féder) - pluma
fiberglass (fáiberglas) - fibra de vidrio

play
flannel (flánel) - franela
gauze (góos) - gasa
glass (glás) - vidrio
gold (góuld) - oro

iron (áiron) - hierro
lace (léis) - encaje
lead (led) - plomo
leather (léder) - cuero

leather (léder) - cuero
linen (línen) - lino
marble (márbl) - mármol
nylon (náilon) - nylon

paper (péiper) - papel
plaster (pláster) - yeso
plastic (plástik) - plástico
plywood (pláiwud) - aglomerado

 ¡Juega gratis ahora! WordGrouper
play
polyester (poliéster) - poliéster
porcelain (pórcelin) - porcelana
pottery (póteri) - cerámica
rayon (réion) - rayón

rubber (ráber) - goma
silk (sílk) - seda
silver (sílver) - plata
steel (stíil) - acero

stone (stóun) - piedra
straw (stróo) - paja
suede (suéid) - gamuza
tin (tin) - estaño, hojalata

velvet (vélvet) - terciopelo
wax (wáx) - cera
wood (wúud) - madera
wool (wúul) - lana

zinc (cinc) - cinc
