circle (sérkl) - círculo
circular (sérkiular) - circular
concave (cónkeiv) - cóncavo
cone (kóun) - cono

conical (kóunikal) - cónico
convex (cónvex) - convexo
cube (kiúb) - cubo
cubic (kiúbic) - cúbico

cylinder (sílinder) - cilindro
cylindrical (silíndrikal) - cilíndrico
hexagon (éxagon) - hexágono
hexagonal (exágonal) - hexagonal

hollow (hólou) - hueco
octagon (óktagon) - octógono
octagonal (oktágonal) - octogonal
oval (óuval) - óvalo, ovalado

 ¡Juega gratis ahora! WordGrouper
play
pentagon (péntagon) - pentágono
pentagonal (pentágonal) - pentagonal
polygon (póligon) - polígono
pyramid (píramid) - pirámide

pyramidal (pirámidal) - piramidal
rectangle (rektángl) - rectángulo
rectangular (rektángiular) - rectangular
rhombus (rómbos) - rombo

rhombus-shaped (rómbos-shéipt) - romboidal
solid (sólid) - sólido
sphere (sfíir) - esfera
spherical (sférikal) - esférico

spiral (spáiral) - espiral
square (skuéer) - cuadrado
triangle (tráingl) - triángulo
triangular (traiángiular) - triangular
